ID,X,Y,V,eV,VI,eVI,MP,sel
480,458.9,473.0,25.481,0.009,0.845,0.014,1.0,1
495,461.8,378.1,25.481,0.009,0.756,0.014,1.0,1
277,401.3,377.4,25.482,0.009,-0.29,0.026,1.0,1
456,452.7,299.0,25.49,0.009,0.652,0.015,1.0,1
560,483.7,547.2,25.496,0.01,0.873,0.015,1.0,1
635,512.1,417.5,25.504,0.01,0.791,0.015,1.0,1
32,298.9,448.8,25.512,0.01,1.056,0.014,1.0,1
160,362.8,384.3,25.517,0.01,0.908,0.015,1.0,1
591,496.7,368.1,25.521,0.009,-0.019,0.022,1.0,1
543,478.3,479.6,25.522,0.01,0.191,0.02,1.0,1
304,410.4,419.8,25.524,0.009,1.036,0.013,1.0,1
477,457.1,466.4,25.524,0.01,0.465,0.017,1.0,1
436,447.5,376.8,25.528,0.01,0.936,0.014,1.0,1
202,377.3,420.3,25.529,0.01,0.811,0.015,1.0,1
194,373.7,368.6,25.53,0.01,0.633,0.016,1.0,1
178,369.3,403.5,25.539,0.01,0.561,0.016,1.0,1
684,529.4,435.7,25.543,0.01,0.64,0.016,1.0,1
7,285.2,453.9,25.548,0.01,0.715,0.016,1.0,1
271,398.5,421.4,25.548,0.01,1.011,0.014,1.0,1
253,393.2,483.4,25.554,0.01,0.333,0.019,1.0,1
92,329.0,472.3,25.562,0.01,0.418,0.018,1.0,1
357,424.5,386.3,25.576,0.009,2.217,0.011,1.0,1
714,544.9,461.3,25.576,0.01,0.622,0.016,1.0,1
296,408.8,482.4,25.58,0.01,-0.113,0.025,1.0,1
61,314.8,444.3,25.584,0.01,0.908,0.015,1.0,1
387,432.6,533.7,25.586,0.01,0.932,0.015,1.0,1
251,392.2,385.9,25.592,0.01,0.649,0.016,1.0,1
461,454.3,502.1,25.597,0.01,-0.461,0.033,1.0,1
399,435.8,484.2,25.6,0.01,-0.619,0.036,1.0,1
124,343.9,440.2,25.611,0.01,0.621,0.017,1.0,1
521,471.0,399.0,25.613,0.01,0.667,0.016,1.0,1
750,564.1,365.8,25.614,0.01,1.036,0.014,1.0,1
168,364.9,351.1,25.615,0.01,0.784,0.016,1.0,1
240,387.6,548.1,25.623,0.01,0.827,0.016,1.0,1
489,460.4,403.3,25.629,0.01,0.183,0.021,1.0,1
471,456.5,403.6,25.64,0.01,1.143,0.014,1.0,1
589,495.9,353.3,25.64,0.01,0.902,0.015,1.0,1
347,422.2,340.1,25.643,0.01,0.607,0.017,1.0,1
389,432.9,525.5,25.651,0.011,0.587,0.018,1.0,1
566,486.0,365.7,25.655,0.01,0.79,0.016,1.0,1
108,335.3,309.0,25.659,0.011,1.222,0.015,1.0,1
698,539.8,424.7,25.668,0.011,0.672,0.018,1.0,1
266,396.9,394.5,25.67,0.01,0.483,0.018,1.0,1
562,483.9,469.1,25.682,0.011,0.884,0.016,1.0,1
186,371.7,376.9,25.686,0.011,0.935,0.016,1.0,1
683,529.3,452.2,25.692,0.011,0.818,0.017,1.0,1
423,442.4,356.9,25.693,0.011,0.861,0.016,1.0,1
155,360.5,431.5,25.694,0.011,0.595,0.019,1.0,1
246,390.5,329.9,25.694,0.01,-1.616,0.084,1.0,1
484,460.0,488.4,25.703,0.011,0.177,0.023,1.0,1
6,284.1,347.8,25.706,0.009,-2.414,0.154,1.0,1
213,379.6,347.7,25.715,0.011,0.66,0.018,1.0,1
782,582.6,326.4,25.724,0.011,0.385,0.021,1.0,1
46,306.1,477.2,25.731,0.011,-0.054,0.027,1.0,1
259,394.6,418.3,25.731,0.011,0.625,0.019,1.0,1
611,503.0,481.4,25.739,0.011,0.951,0.016,1.0,1
734,555.8,451.4,25.739,0.011,0.932,0.016,1.0,1
156,361.5,356.4,25.747,0.011,0.949,0.016,1.0,1
630,509.3,493.4,25.748,0.011,0.689,0.018,1.0,1
695,538.4,482.1,25.769,0.011,0.741,0.018,1.0,1
220,382.1,386.5,25.773,0.011,-0.189,0.03,1.0,1
341,420.3,458.7,25.778,0.011,0.636,0.019,1.0,1
133,348.9,515.7,25.785,0.012,0.953,0.017,1.0,1
586,494.5,429.3,25.79,0.011,0.959,0.016,1.0,1
496,463.0,349.3,25.793,0.011,0.829,0.017,1.0,1
306,410.7,450.5,25.799,0.011,1.728,0.014,1.0,1
377,430.2,387.1,25.8,0.011,0.269,0.023,1.0,1
751,564.7,539.6,25.806,0.012,0.831,0.018,1.0,1
393,434.8,479.7,25.813,0.012,0.827,0.018,1.0,1
681,527.7,471.7,25.816,0.012,0.919,0.018,1.0,1
452,450.8,343.2,25.823,0.012,0.918,0.018,1.0,1
780,582.0,347.1,25.831,0.012,0.857,0.018,1.0,1
