ID X   Y     V      eV    VI    eVI
448 450.1 369.9 25.180 0.008 0.054 0.017
449 450.3 404.3 22.784 0.005 1.240 0.008
450 450.6 322.0 28.256 0.094 1.447 0.113
451 450.7 382.5 26.365 0.018 0.711 0.029
452 450.8 343.2 25.823 0.012 0.918 0.018
453 451.7 468.8 25.282 0.008 0.823 0.013
454 452.5 348.3 26.496 0.020 0.987 0.028
455 452.6 313.7 26.480 0.020 0.580 0.034
456 452.7 299.0 25.490 0.009 0.652 0.015
457 453.1 548.0 28.388 0.110 1.182 0.144
458 453.5 395.3 23.971 0.005 1.063 0.008
459 454.2 333.1 27.142 0.034 -0.148 0.100
460 454.2 459.0 23.777 0.005 0.722 0.008
461 454.3 502.1 25.597 0.010 -0.461 0.033
462 454.5 355.1 26.899 0.029 0.855 0.044
463 454.6 473.2 26.067 0.014 0.791 0.022
464 454.7 382.3 25.415 0.009 0.631 0.015
465 454.9 531.0 24.359 0.006 0.919 0.009
466 455.4 478.1 24.602 0.006 0.816 0.009
467 455.8 317.8 27.986 0.073 0.255 0.160
468 455.8 341.2 27.992 0.075 0.560 0.132
469 456.2 338.0 26.997 0.031 0.730 0.049
470 456.3 295.2 27.249 0.039 1.006 0.054
471 456.5 403.6 25.640 0.010 1.143 0.014
472 456.5 424.2 22.768 0.005 1.329 0.008
473 456.7 398.9 26.004 0.013 0.894 0.019
474 456.8 389.0 23.522 0.005 0.965 0.008
475 456.9 358.3 27.098 0.033 0.916 0.049
476 457.1 369.9 25.406 0.009 0.609 0.015
477 457.1 466.4 25.524 0.010 0.465 0.017
478 458.1 347.1 27.821 0.064 0.410 0.125
479 458.3 354.8 26.774 0.025 0.564 0.044
480 458.9 473.0 25.481 0.009 0.845 0.014
481 459.6 382.9 24.988 0.007 0.612 0.011
482 459.7 284.7 26.895 0.028 0.610 0.048
483 459.9 445.1 22.766 0.005 1.309 0.008
484 460.0 488.4 25.703 0.011 0.177 0.023
485 460.0 520.9 26.204 0.016 1.256 0.021
486 460.3 417.5 25.936 0.012 0.702 0.020
487 460.3 482.0 27.081 0.033 0.502 0.061
488 460.4 398.9 26.998 0.031 0.603 0.053
489 460.4 403.3 25.629 0.010 0.183 0.021
490 460.4 424.9 24.152 0.005 1.315 0.008
491 460.5 407.3 24.906 0.007 0.883 0.011
492 460.5 432.6 24.522 0.006 0.090 0.011
493 461.3 512.9 25.016 0.007 1.009 0.011
494 461.7 358.2 27.822 0.065 0.804 0.100
495 461.8 378.1 25.481 0.009 0.756 0.014
496 463.0 349.3 25.793 0.011 0.829 0.017
497 463.1 501.5 24.694 0.006 0.813 0.010
498 463.9 403.7 24.829 0.007 0.337 0.012
499 464.7 489.5 25.450 0.009 0.455 0.017
500 465.1 373.3 26.343 0.017 0.695 0.028
501 465.1 386.2 25.139 0.008 0.636 0.013
502 465.1 505.7 23.965 0.005 1.041 0.008
503 465.3 494.3 26.322 0.018 0.624 0.030
504 466.1 369.9 25.914 0.013 0.938 0.018
505 466.2 393.3 26.984 0.029 -0.283 0.096
506 466.2 411.9 24.327 0.006 1.115 0.008
507 466.2 482.1 23.678 0.005 1.298 0.008
508 466.3 282.5 25.278 0.008 1.112 0.011
509 466.3 340.4 27.618 0.054 0.762 0.085
510 466.8 421.8 23.067 0.005 1.341 0.008
511 467.0 453.0 23.368 0.005 1.218 0.008
512 467.9 416.2 24.722 0.006 0.418 0.011
513 468.5 440.7 24.756 0.006 0.139 0.012
514 469.1 468.1 23.855 0.005 1.028 0.008
515 469.1 536.8 24.973 0.007 0.980 0.011
516 469.4 306.5 28.467 0.116 1.044 0.159
517 469.5 286.4 27.217 0.039 0.825 0.059
518 469.7 413.1 24.636 0.006 0.363 0.011
519 470.0 343.6 27.742 0.060 0.749 0.095
520 470.5 521.4 26.958 0.030 0.113 0.071
521 471.0 399.0 25.613 0.010 0.667 0.016
522 471.1 388.6 27.195 0.037 1.032 0.051
523 471.3 333.8 25.007 0.007 0.358 0.013
524 471.7 328.6 24.677 0.006 1.104 0.009
525 472.1 346.6 27.824 0.065 1.113 0.087
526 472.2 370.0 27.847 0.066 0.692 0.108
527 472.5 447.7 23.210 0.005 1.156 0.008
528 472.6 458.9 22.992 0.005 1.204 0.008
529 472.7 477.9 24.984 0.007 0.613 0.011
530 472.9 441.3 25.052 0.007 0.654 0.011
531 473.1 380.5 25.936 0.013 0.972 0.018
532 473.7 436.7 26.114 0.014 0.257 0.030
533 473.8 546.2 26.814 0.026 0.726 0.042
